0,1,2,3,4,5
COX&KINGS.NS,DIAPOWER.NS,DUCON.NS,GET&D.NS,M&MFIN.NS,METKORE.NS
28695500000.0,5428764000.0,231239000.0,10845400000.0,69429236000.0,688087000.0
1191500000.0,5428764000.0,214945000.0,10845400000.0,69341457000.0,688087000.0
961500000,-297123000,2040000,717700000,3649079000,-60612000
1022400000,-297123000,2869000,1099000000,5826487000,-61315000
1264300000,98039000,1215000,2220300000,2654727000,9330000
13560700000,1050338000,110439000,14385500000,10861342000,3872000
12179800000,1412105000,107729000,14099400000,5670379000,65092000
