0,1,2
JYOTISTRUC.NS,NAKODA.NS,SANCO.NS
5761500000.0,2676158000.0,103606000.0
5734830000.0,2676158000.0,103606000.0
267915000,94366000,1912500.0
418710000,144664000,2395000
-156935000,-805262000,-510000
6431195000,3983817000,52018500
5729305000,3749531000,46493000
