0,1,2,3,4,5,6,7,8
AIFL.NS,CANDC.NS,CELESTIAL.NS,DUCON.NS,HDIL.NS,HINDSYNTEX.NS,KGL.NS,NAGAROIL.NS,SITASHREE.NS
1906800000.0,-26895000.0,1041674000.0,769007000.0,118885200000.0,6448000.0,24613169000.0,-199393000.0,-1314539000.0
1906800000.0,-5504208000.0,596836000.0,769007000.0,118884600000.0,6428000.0,24613120000.0,-199393000.0,-1314777000.0
-342123000,14150000,5947000,16506000,544100000,-14375000,168148000,-9999000,-33202000
-377941000,12877000,5947000,14439000,671500000,-14375000,173111000,-9999000,-33539700
105268000,170086000,8261000,24587000,115900000,11619000,189265000,6186000,736000
510150000,2790789000,168351000,1037637000,3000000000,119441000,530155000,616000,1053000
831914000,2214553000,159689000,994787000,1629800000,133816000,523062000,10264000,15633000
