0,1,2,3,4,5,6
COX&KINGS.NS,DIAPOWER.NS,DUCON.NS,GET&D.NS,GITANJALI.NS,M&MFIN.NS,RAMSARUP.NS
28695500000.0,5428764000.0,229421000.0,10845400000.0,67216791000.0,69429236000.0,-16183300000.0
1191500000.0,5428764000.0,211089000.0,10845400000.0,60330617000.0,69341457000.0,-16183300000.0
1669400000,-309023000,2126000,475200000,644668000,1006811000,-1686360000
2803800000,-309023000,2643000,695200000,692138000,1751099000,-1686360000
935100000,69365000,1521000,1498400000,590171000,1839546000,3376000
15938800000,1982170000,101461000,8699500000,37886983000,6696704000,7000
12696700000,2297287000,99068000,8122800000,36929279000,4989346000,107739000
