0,1,2,3,4,5,6
DIAPOWER.NS,DOLPHINOFF.NS,GITANJALI.NS,NITINFIRE.NS,NUTEK.NS,RAMSARUP.NS,SHILPI.NS
6548242000.0,4505350000.0,65623218000.0,5542900533.0,6183600000.0,-12834304000.0,-1286571000.0
6548242000.0,4390007000.0,58770531000.0,3894697421.0,6176200000.0,-12834304000.0,-1286571000.0
-3017448000,-313844000,51457000,-1117685316,18727000,-219855000,-9839725000
-3148659000,-303548000,83030000,-1125563840,-6187000,-185587000,-10222869000
-2222291000,549198000,1547244000,2282553961,59613000,51047000,5379326000
2010074000,475180000,56052250000,33839146,149016000,2880000,4917131000
5303540000,792422000,54568353000,674447538,149028000,188460000,14848809000
