0,1,2,3
EASUNREYRL.NS,EDUCOMP.NS,HIGHGROUND.NS,IL&FSTRANS.NS
1468400000.0,5777178000.0,623816000.0,54107470000.0
1468400000.0,-4886577000.0,623816000.0,-123961310000.0
-79950000,-852613000,51431000,29050000.0
-81950000,-1101899000,76834000,53240000
38350000,529166000,3255000,3114300000
285800000,1432255000,540711000,16443970000
283400000,1505775000,457759000,11720380000
