0,1,2,3,4,5,6
COX&KINGS.NS,DIAPOWER.NS,DUCON.NS,GITANJALI.NS,M&M.NS,M&MFIN.NS,NUTEK.NS
25994800000.0,5284448000.0,268399000.0,65623218000.0,297379900000.0,69601555000.0,6183600000.0
289700000.0,5284448000.0,268399000.0,58770531000.0,264538800000.0,69554953000.0,6183600000.0
1516900000,-466866000,1498000,692187000,14440000000,584237000,9722000
2765200000,-466866000,2238000,681960000,17645000000,909504000,9722000
1277400000,165047000,1817000,755876000,215025000000,2222747000,35626000
19081200000,2007849000,101039000,56110671000,229685000000,5736684000,111143000
15549200000,2451236000,96276000,54383427000,215025000000,4942627000,99834000
