0,1,2,3,4,5,6,7,8
CANDC.NS,CELESTIAL.NS,HDIL.NS,HINDSYNTEX.NS,JAIHINDPRO.NS,JAINSTUDIO.NS,KGL.NS,PETRONENGG.NS,SITASHREE.NS
-26895000.0,1041674000.0,118885200000.0,6448000.0,-3325284000.0,354743000.0,24613169000.0,-50500000.0,-1314539000.0
-5504208000.0,596836000.0,118884600000.0,6428000.0,-3325284000.0,354743000.0,24613120000.0,-50600000.0,-1314777000.0
-84159000,758000,197100000,-18378000,-57762000,-4272000,116262000,-34100000,-44686000
-85545000,758000,238100000,-18378000,-57762000,-4272000,115942000,-34100000,-44658800
27115000,2483000,45600000,3817000,64018000,654000,55975000,42100000,10616000
2635087000,124674000,2220600000,30470000,51539000,4000,553791000,290600000,2084000
2282332000,123910000,1262100000,48849000,109188000,4275000,428509000,325200000,25553000
