startdate,enddate,ticker,changelist
30-06-2019,30-09-2019,SPENTEX.NS,-22.22222148636239
30-06-2019,30-09-2019,SRSLTD.NS,0.0
30-06-2019,30-09-2019,STINDIA.NS,-28.688525038680485
30-06-2019,30-09-2019,TECHNOFAB.NS,-34.82142575845422
30-06-2019,30-09-2019,UNITECH.NS,83.33333002196431
30-09-2019,31-12-2019,AHLEAST.NS,-23.626211219671866
30-09-2019,31-12-2019,ATLASCYCLE.NS,-41.0986777941473
30-09-2019,31-12-2019,AUTOLITIND.NS,-46.69704144603264
30-09-2019,31-12-2019,BALLARPUR.NS,-12.500002793967683
30-09-2019,31-12-2019,BILENERGY.NS,-55.000001192092896
30-09-2019,31-12-2019,CIMMCO.NS,-56.11353555393694
30-09-2019,31-12-2019,DQE.NS,-53.33333545260959
30-09-2019,31-12-2019,EON.NS,-48.67924384351047
30-09-2019,31-12-2019,GSKCONS.NS,12.827895536087397
30-09-2019,31-12-2019,GVKPIL.NS,-43.75
30-09-2019,31-12-2019,KSK.NS,-45.45454446934474
30-09-2019,31-12-2019,METALFORGE.NS,-20.000001003867702
30-09-2019,31-12-2019,OISL.NS,-37.50000093132256
30-09-2019,31-12-2019,RNAVAL.NS,-65.5555566151937
30-09-2019,31-12-2019,SELMCL.NS,-46.666665871938065
30-09-2019,31-12-2019,SRSLTD.NS,0.0
30-09-2019,31-12-2019,STINDIA.NS,-26.136365237314806
30-09-2019,31-12-2019,TECHNOFAB.NS,-67.24137931034483
30-09-2019,31-12-2019,UNITECH.NS,29.999995231628418
31-12-2019,31-03-2020,AARVEEDEN.NS,42.4418541468308
31-12-2019,31-03-2020,AHLEAST.NS,-7.684561710229657
31-12-2019,31-03-2020,ALCHEM.NS,333.3333002196431
31-12-2019,31-03-2020,ALMONDZ.NS,-21.71052784305532
31-12-2019,31-03-2020,ANSALAPI.NS,32.857145581926616
31-12-2019,31-03-2020,ANTGRAPHIC.NS,0.0
31-12-2019,31-03-2020,ASHIMASYN.NS,98.50747118444502
31-12-2019,31-03-2020,ASPINWALL.NS,43.388892279730904
31-12-2019,31-03-2020,BFUTILITIE.NS,41.48333196520433
31-12-2019,31-03-2020,BHARATGEAR.NS,82.66129286554684
31-12-2019,31-03-2020,BINANIIND.NS,-4.310344685839137
31-12-2019,31-03-2020,CASTEXTECH.NS,159.99999046325684
31-12-2019,31-03-2020,CENTURYPLY.NS,10.183484838643206
